iteration,timestamp,tank_level,pump1_flow,pump2_flow,pump1_status,pump2_status,tank_inflow,total_demand,pressure_J39,pressure_J156,pressure_J280,attack_flag,missing
0,0,3.0,0.0955,0.0955,1,1,-0.0346,225.641,28.461,35.199,2.976,0,0
1,300,2.9865,0.0955,0.0956,1,1,-0.0345,225.641,28.448,35.192,2.976,0,0
2,600,2.9731,0.0956,0.0956,1,1,-0.0345,225.641,28.434,35.184,2.976,0,0
3,900,2.9596,0.0956,0.0956,1,1,-0.0345,225.641,28.421,35.177,2.976,0,0
4,1200,2.9462,0.0956,0.0956,1,1,-0.0344,225.641,28.408,35.169,2.976,0,0
5,1500,2.9327,0.0956,0.0956,1,1,-0.0344,225.641,28.395,35.161,2.976,0,0
6,1800,2.9193,0.0956,0.0956,1,1,-0.0344,225.641,28.382,35.154,2.976,0,0
7,2100,2.9059,0.0956,0.0956,1,1,-0.0344,225.641,28.368,35.146,2.976,0,0
8,2400,2.8925,0.0956,0.0957,1,1,-0.0343,225.641,28.355,35.138,2.976,0,0
9,2700,2.8791,0.0957,0.0957,1,1,-0.0343,225.641,28.342,35.131,2.976,0,0
10,3000,2.8657,0.0957,0.0957,1,1,-0.0343,225.641,28.329,35.123,2.976,0,0
11,3300,2.8524,0.0957,0.0957,1,1,-0.0342,225.641,28.316,35.115,2.976,0,0
12,3600,2.839,0.0952,0.0952,1,1,-0.0278,218.2246,28.353,35.369,2.976,0,0
13,3900,2.8282,0.0952,0.0952,1,1,-0.0278,218.2246,28.342,35.363,2.976,0,0
14,4200,2.8174,0.0952,0.0953,1,1,-0.0277,218.2246,28.332,35.357,2.976,0,0
15,4500,2.8066,0.0952,0.0953,1,1,-0.0277,218.2246,28.321,35.351,2.976,0,0
16,4800,2.7958,0.0953,0.0953,1,1,-0.0277,218.2246,28.31,35.345,2.976,0,0
17,5100,2.785,0.0953,0.0953,1,1,-0.0277,218.2246,28.3,35.338,2.976,0,0
18,5400,2.7742,0.0953,0.0953,1,1,-0.0276,218.2246,28.289,35.332,2.976,0,0
19,5700,2.7634,0.0953,0.0953,1,1,-0.0276,218.2246,28.278,35.326,2.976,0,0
20,6000,2.7526,0.0953,0.0953,1,1,-0.0276,218.2246,28.268,35.32,2.976,0,0
21,6300,2.7419,0.0953,0.0953,1,1,-0.0276,218.2246,28.257,35.314,2.976,0,0
22,6600,2.7311,0.0953,0.0953,1,1,-0.0275,218.2246,28.247,35.308,2.976,0,0
23,6900,2.7204,0.0953,0.0954,1,1,-0.0275,218.2246,28.236,35.301,2.976,0,0
24,7200,2.7097,0.1201,0.1201,1,1,-0.3995,639.7346,13.529,21.483,2.963,0,0
25,7500,2.5539,0.1202,0.1203,1,1,-0.3992,639.7346,13.391,21.406,2.963,0,0
26,7800,2.3982,0.1204,0.1204,1,1,-0.399,639.7346,13.254,21.33,2.963,0,0
27,8100,2.2427,0.1205,0.1205,1,1,-0.3987,639.7346,13.116,21.253,2.963,0,0
28,8400,2.0872,0.1206,0.1207,1,1,-0.3985,639.7346,12.979,21.177,2.963,0,0
29,8700,1.9319,0.1208,0.1208,1,1,-0.3982,639.7346,12.841,21.101,2.963,0,0
30,9000,1.7766,0.1209,0.1209,1,1,-0.3979,639.7346,12.704,21.025,2.962,0,0
31,9300,1.6215,0.121,0.121,1,1,-0.3977,639.7346,12.567,20.949,2.962,0,0
32,9600,1.4664,0.1212,0.1212,1,1,-0.3974,639.7346,12.43,20.872,2.962,0,0
33,9900,1.3115,0.1213,0.1213,1,1,-0.3971,639.7346,12.292,20.796,2.962,0,0
34,10200,1.1566,0.1214,0.1214,1,1,-0.3969,639.7346,12.155,20.72,2.962,0,0
35,10500,1.0019,0.1215,0.1216,1,1,-0.3966,639.7346,12.018,20.644,2.962,0,0
36,10800,0.8473,0.1115,0.1116,1,1,-0.2823,505.396,18.689,26.383,2.968,0,0
37,11100,0.7372,0.1116,0.1117,1,1,-0.2821,505.396,18.589,26.327,2.968,0,0
38,11400,0.6272,0.1117,0.1118,1,1,-0.2819,505.396,18.489,26.271,2.968,0,0
39,11700,0.5173,0.1118,0.1119,1,1,-0.2817,505.396,18.389,26.215,2.967,0,0
40,12000,0.4075,0.1119,0.112,1,1,-0.2815,505.396,18.289,26.159,2.967,0,0
41,12300,0.2977,0.112,0.1121,1,1,-0.2813,505.396,18.19,26.103,2.967,0,0
42,12600,0.1881,0.1121,0.1122,1,1,-0.2811,505.396,18.09,26.047,2.967,0,0
43,12900,0.0785,0.1122,0.1123,1,1,-0.2809,505.396,17.99,25.991,2.967,0,0
44,13200,0.0,0.2527,0.2527,1,1,0.0,505.396,-165.973,-68.134,2.853,0,0
45,13500,0.0,0.2527,0.2527,1,1,0.0,505.396,-165.973,-68.134,2.853,0,0
46,13800,0.0,0.2527,0.2527,1,1,0.0,505.396,-165.973,-68.134,2.853,0,0
47,14100,0.0,0.2527,0.2527,1,1,0.0,505.396,-165.973,-68.134,2.853,0,0
48,14400,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
49,14700,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
50,15000,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
51,15300,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
52,15600,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
53,15900,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
54,16200,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
55,16500,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
56,16800,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
57,17100,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
58,17400,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
59,17700,0.0,0.2252,0.2252,1,1,0.0,450.3791,-125.178,-47.713,2.881,0,0
60,18000,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.274,-37.961,2.894,0,0
61,18300,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
62,18600,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
63,18900,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
64,19200,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
65,19500,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
66,19800,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
67,20100,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
68,20400,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
69,20700,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
70,21000,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
71,21300,0.0,0.2116,0.2117,1,1,0.0,423.2485,-104.276,-37.961,2.894,0,0
72,21600,0.0,0.2443,0.2444,1,1,0.0,488.6997,-152.343,-61.848,2.862,0,0
